"Variable","median_mda","iqr25","iqr75","Genus"
"Otu00132",0.297803091941245,0.262075849890803,0.324928773400781,"Firmicutes"
"Otu00150",0.297203878092491,0.268763450847647,0.333234606250659,"Lachnospiraceae"
"Otu00269",0.292277203846616,0.269156066470281,0.329600722939016,"Blautia"
"Otu00480",0.291650479290645,0.256807763866745,0.374157508477508,"Lachnospiraceae"
"Otu00232",0.290930526170682,0.267374217449394,0.317809802935796,"Ruminococcaceae"
"Otu00214",0.290844746596288,0.251666871161782,0.329411270448254,"Bacteria"
"Otu00299",0.287564396737851,0.25957421809622,0.317911237278166,"Lachnospiraceae"
"Otu00137",0.287370413740743,0.237197291485204,0.331386200410632,"Clostridiales"
"Otu00127",0.286510010086715,0.254467166211987,0.319668127766999,"Clostridium_sensu_stricto"
"Otu00102",0.285868344854489,0.259529130275524,0.334865885086699,"Dialister"
"Otu00286",0.284822335590356,0.251671761722948,0.320692235416365,"Lachnospiraceae"
"Otu00223",0.283862995330447,0.246167307963762,0.324357905484802,"Clostridiales"
"Otu00304",0.283652439572871,0.247392203035237,0.331794015622087,"Lachnospiraceae"
"Otu00259",0.283352249596092,0.254845744733078,0.329437690271886,"Ruminococcaceae"
"Otu00252",0.279780202696269,0.253467314344644,0.307152285328929,"Lachnospiraceae"
"Otu00096",0.279770513622381,0.247730769640013,0.32029935927822,"Blautia"
"Otu00144",0.279379508742756,0.251047076503532,0.326806641145729,"Clostridiales"
"Otu00116",0.278368769535963,0.246625326402741,0.349946069750954,"Enterococcus"
"Otu00393",0.278323119534795,0.240758313619952,0.310787705361023,"Clostridiales"
"Otu00277",0.278241430333791,0.241188654454002,0.313821417511985,"Alistipes"
"Otu00272",0.278032488371426,0.241745199848577,0.327506573810662,"Coriobacteriaceae"
"Otu00526",0.276968042577679,0.237076279813409,0.306165163610768,"Clostridium_XlVb"
"Otu00130",0.276764724886669,0.235143657376758,0.306507422965998,"Coprococcus"
"Otu00179",0.276583151930008,0.24497436897844,0.311996202362663,"Ruminococcaceae"
"Otu00243",0.276477219375374,0.246413888183262,0.311015693645806,"Bacteria"
"Otu00550",0.27614124009891,0.24189788217151,0.310777847381588,"Firmicutes"
"Otu00348",0.27481114445818,0.238248650397851,0.307460460627719,"Blautia"
"Otu00145",0.273975311386155,0.242629773558393,0.30887967689889,"Subdoligranulum"
"Otu00208",0.27103733658614,0.245752948878219,0.309424064893416,"Holdemania"
"Otu00388",0.269599761587406,0.229493993027247,0.301686124836531,"Lachnospiraceae"
"Otu00184",0.268110887807909,0.236990906331852,0.298632054987986,"Clostridium_XlVa"
"Otu00062",0.267758308707803,0.238780377315749,0.296560534572221,"Bacteroides"
"Otu00438",0.2643539158016,0.231664311095795,0.297058845301142,"Lachnospiraceae"
"Otu00318",0.263727875111555,0.228929679952833,0.293901218054714,"Ruminococcus2"
"Otu00055",0.263710922973988,0.235466374566406,0.289261325494803,"Blautia"
"Otu00336",0.263576000663545,0.239452753501639,0.31151849288365,"Lachnospiraceae"
"Otu00163",0.26299020222666,0.22744025456939,0.301212095333634,"Lachnospiraceae"
"Otu00392",0.262419000797334,0.231498831622281,0.298669346926053,"Firmicutes"
"Otu00379",0.262385117171289,0.234148471795661,0.30352260499102,"Streptococcus"
