sample_name,cluster_group,final_abund
SRR5665028,43,66948.3621575073
SRR5665028,44,17.983347420288812
SRR5665028,45,0
SRR5665028,46,861.8242755329148
SRR5665028,47,243.9502210362584
SRR5665028,48,5190.876887951671
SRR5665028,49,6643.398961538636
SRR5665028,50,788.9978502258922
SRR5665028,51,15170.01321569718
SRR5665028,52,471.92071731949034
SRR5665028,53,6586.376364482073
SRR5665028,54,0
SRR5665028,55,1929.5192364421928
SRR5665028,56,0
SRR5665028,57,32041.814236714366
SRR5665028,58,0
SRR5665028,59,0
SRR5665028,60,0
SRR5665028,61,9094.887728366803
SRR5665028,62,0
SRR5665028,63,0
SRR5665028,64,42.05220334118569
SRR5665028,65,0
SRR5665028,66,216.62633079747002
SRR5665028,67,87.86759798905548
SRR5665028,68,0
SRR5665028,69,5.261496369567505
SRR5665028,70,0
SRR5665028,71,9350.768484296268
SRR5665028,72,0
SRR5665028,73,583.2604257801108
SRR5665028,74,2483.4437086092717
SRR5665028,75,5916.123469840768
SRR5665029,0,310.7400637096022
SRR5665029,1,409.31795953364764
SRR5665029,2,0
SRR5665029,3,9938.741527505445
SRR5665029,4,214.7893035976013
SRR5665029,5,5.222972888480986
SRR5665029,6,885.4950923428537
SRR5665029,7,761.9011612155173
SRR5665029,8,5629.637331169706
SRR5665029,9,758.6945330349816
SRR5665029,10,1326.290076029468
SRR5665029,11,347.1220860370103
SRR5665029,12,7156.931337126195
SRR5665029,13,0
SRR5665029,14,8456.533533724727
SRR5665029,15,0
SRR5665029,16,294.2907592701589
SRR5665029,17,8034.242648013558
SRR5665029,18,3354.636379139874
SRR5665029,19,1236.1970544650076
SRR5665029,20,3933.136676499508
SRR5665029,21,3.629667086033132
SRR5665029,22,1785.438714130031
SRR5665029,23,194.55874831450225
SRR5665029,24,0
SRR5665029,25,6015.360368993943
SRR5665029,26,0
SRR5665029,27,0
SRR5665029,28,6231.9775968774
SRR5665029,29,3213.367609254499
SRR5665029,30,336.92722371967653
SRR5665029,31,844.757840822338
SRR5665029,32,0
SRR5665029,33,90.5437008980073
SRR5665029,34,0
SRR5665029,35,516.2852631128959
SRR5665029,36,0
SRR5665029,37,1654.2995596285543
SRR5665029,38,0
SRR5665029,39,5464.966824845785
SRR5665029,40,797.979377028865
SRR5665029,41,0
SRR5665029,42,8.486587069810591
SRR5665029,43,63095.99381529263
SRR5665029,44,2227.9523025951953
SRR5665029,45,0
SRR5665029,46,563.1023129852194
SRR5665029,47,45.82339166949481
SRR5665029,48,1558.7683951760107
SRR5665029,49,9168.442436138794
SRR5665029,50,20.559456989887053
SRR5665029,51,12234.294313567203
SRR5665029,52,0
SRR5665029,53,1969.9590849878164
SRR5665029,54,269.2514808831449
SRR5665029,55,21700.003749520536
SRR5665029,56,3468.780971258672
SRR5665029,57,939.6895513124534
SRR5665029,58,30.904258606836024
SRR5665029,59,0
SRR5665029,60,2257.105149207485
SRR5665029,61,1376.4780957908006
SRR5665029,62,0
SRR5665029,63,3.6098476644285613
SRR5665029,64,7251.446384969533
SRR5665029,65,0
SRR5665029,66,157.29403205298797
SRR5665029,67,20.567667626491154
SRR5665029,68,0
SRR5665029,69,29.537555897024493
SRR5665029,70,8768.530198146895
SRR5665029,71,6637.805785781997
SRR5665029,72,0
SRR5665029,73,5745.473022416165
SRR5665029,74,0
SRR5665029,75,4463.361155415113
SRR5665030,0,134.5938275557614
SRR5665030,1,1409.2126021944543
SRR5665030,2,0
SRR5665030,3,4684.909845142705
SRR5665030,4,2827.4904842184123
SRR5665030,5,25.299977355693265
